Product,Model,GA Date,EOL Date,EOPS Date,EOSL Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Include?,GA Updated?,EOL Updated?,EOPS Updated?,EOSL Updated?,Date Red to Black,Longest Proudct Name
Celerra Gateway,NS80G,1-Nov-06,31-Jul-09,31-Jul-14,31-Jul-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,Yes,1-Dec-15,15
Celerra Gateway,NS-G2,27-Jul-09,31-Mar-11,31-Mar-16,31-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,Yes,1-Dec-15,15
Celerra Gateway,NS-G8,2-Mar-09,31-Mar-11,31-Mar-16,31-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,Yes,1-Dec-15,15
Celerra Gateway,NSXRACK/NSXRACKU,1-May-05,31-Jul-09,31-Jul-14,31-Jul-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,1-Dec-15,15
Celerra Gateway,VG2 (with DART 6.x),9-Sep-10,28-Feb-11,30-Jun-17,30-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,yes,yes,15-Dec-15,15
Celerra Gateway,VG8 (with DART 6.x),9-Sep-10,28-Feb-11,30-Jun-17,30-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,yes,yes,15-Dec-15,15
Celerra NS,NS-120,10-Dec-08,31-Dec-11,31-Dec-16,31-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,Yes,1-Dec-15,10
Celerra NS,NS20,14-Aug-07,31-Jul-09,31-Jul-14,31-Jul-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,1-Dec-15,10
Celerra NS,NS350,1-Mar-06,31-Mar-08,31-Mar-13,31-Mar-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,Yes,1-Dec-15,10
Celerra NS,NS40,1-Aug-06,31-Jul-09,31-Jul-14,31-Jul-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,Yes,No,1-Dec-15,10
Celerra NS,NS40 DC NEBS,1-Mar-07,31-Jul-10,31-Jul-15,31-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,1-Dec-15,10
Celerra NS,NS40G DC NEBS,1-Aug-06,31-Jul-09,31-Jul-15,31-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,1-Dec-15,10
Celerra NS,NS-480,10-Dec-08,31-Dec-11,31-Dec-16,31-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,Yes,1-Dec-15,10
Celerra NS,NS500,1-Sep-04,30-Apr-07,30-Apr-12,30-Apr-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,1-Dec-15,10
Celerra NS,NS600,1-Dec-02,31-Jan-05,31-Jul-10,31-Jul-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,1-Dec-15,10
Celerra NS,NS700 (1st generation),1-Feb-04,31-Mar-07,31-Mar-12,31-Mar-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,1-Dec-15,10
Celerra NS,NS700 (2nd generation),1-Aug-04,31-Mar-07,31-Mar-12,31-Mar-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,1-Dec-15,10
Celerra NS,NS704 (Integrated),1-Nov-05,31-Mar-07,31-Mar-12,31-Mar-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,1-Dec-15,10
Celerra NS,NS80,1-Nov-06,31-Jul-09,31-Jul-14,31-Jul-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,1-Dec-15,10
Celerra NS,NS80G,1-Nov-06,31-Jul-09,31-Jul-14,31-Jul-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,1-Dec-15,10
Celerra NS,NS-960,2-Mar-09,31-Dec-11,31-Dec-16,31-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,Yes,1-Dec-15,10
Celerra NX4,NX4,22-Aug-08,30-Jun-12,30-Jun-17,30-Jun-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,Yes,1-Dec-15,11
Centera,Generation 1,1-Apr-02,28-Feb-04,28-Feb-09,28-Feb-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,1-Dec-15,7
