Product,Model,GA Date,EOL Date,EOPS Date,EOSL Date,Include?,GA Updated?,EOL Updated?,EOPS Updated?,EOSL Updated?,Date Red to Black,,,,,,,,,,
Centera,Generation 4 LP 3 TB,11-Jul-2007,09-Feb-2009,28-Feb-2014,28-Feb-2014,Yes,No,No,Yes,Yes,31-Jan-2010,,,,,,,,,,
Centera,Generation 4 LP 4 TB,19-May-2008,,,,Yes,No,No,No,No,31-Jan-2010,,,,,,,,,,
Centera,Generation 4 LP 8 TB,07-May-2010,,,,Yes,Yes,No,No,No,31-Dec-2010,,,,,,,,,,
Centriplex,1000,01-Jan-1996,30-Apr-1998,31-Dec-2003,31-Dec-2003,Yes,No,No,No,No,31-Jan-2010,,,,,,,,,,
CLARiiON,AX100,28-Jul-2004,30-Apr-2006,30-Apr-2011,30-Apr-2011,Yes,No,No,No,No,31-Jan-2010,,,,,,,,,,
CLARiiON,AX100i,31-Jan-2005,30-Apr-2006,30-Apr-2011,30-Apr-2011,Yes,No,No,No,No,31-Jan-2010,,,,,,,,,,
CLARiiON,AX100SC,28-Jul-2004,30-Apr-2006,30-Apr-2011,30-Apr-2011,Yes,No,No,No,No,31-Jan-2010,,,,,,,,,,
CLARiiON,AX100SCi,31-Jan-2005,30-Apr-2006,30-Apr-2011,30-Apr-2011,Yes,No,No,No,No,31-Jan-2010,,,,,,,,,,
CLARiiON,AX150,03-Apr-2006,30-Apr-2008,31-May-2013,31-May-2013,Yes,No,No,No,yes,31-Mar-2013,,,,,,,,,,
CLARiiON,AX150i,03-Apr-2006,30-Apr-2008,31-May-2013,31-May-2013,Yes,No,No,No,yes,31-Mar-2013,,,,,,,,,,
CLARiiON,AX150SC,03-Apr-2006,30-Apr-2008,31-May-2013,31-May-2013,Yes,No,No,No,yes,31-Mar-2013,,,,,,,,,,
CLARiiON,AX150SCi,03-Apr-2006,30-Apr-2008,31-May-2013,31-May-2013,Yes,No,No,No,yes,31-Mar-2013,,,,,,,,,,
CLARiiON,AX4-5F,10-Jan-2008,30-Jun-2014,30-Jun-2019,30-Jun-2019,Yes,No,yes,yes,yes,30-Apr-2014,,,,,,,,,,
CLARiiON,AX4-5FDC,01-Sep-2008,30-Jun-2014,30-Jun-2019,30-Jun-2019,Yes,No,yes,yes,yes,30-Apr-2014,,,,,,,,,,
